species,age,weight,affection,appetite,vaccinated,injury,wound,overall_health
Cat,11,17.62,9.1,2.0,1,1,0,7.4775
Cow,3,39.64,8.4,5.3,1,1,0,5.2315
Dog,2,7.52,9.5,2.2,0,0,1,25.1822
Rabbit,12,14.46,3.7,3.4,0,0,0,24.8431
Rabbit,9,20.04,3.9,7.6,0,0,1,25.1655
Cow,1,3.51,7.0,3.9,1,1,1,39.1456
Dog,5,25.39,7.4,1.3,1,1,1,2.3547
Cow,14,34.06,5.7,2.2,0,1,1,6.8577
Cat,14,49.01,5.0,5.6,0,1,1,26.8805
Dog,4,14.67,1.0,3.2,0,1,0,21.7136
Cow,3,24.23,8.4,2.0,1,1,1,18.38
Cow,15,14.11,8.5,9.9,0,0,0,44.5643
Cow,1,20.18,4.4,1.5,1,0,0,83.4831
Cat,7,37.03,6.7,2.4,0,1,1,9.4442
Cat,2,49.72,4.4,4.0,1,0,1,18.0617
Cow,6,44.91,3.3,9.3,0,1,0,2.3772
Dog,12,20.2,4.1,9.3,1,0,1,10.4121
Cow,8,15.49,4.0,1.0,0,1,1,40.6369
Rabbit,6,23.05,7.0,5.3,0,0,1,0.4092
Dog,4,5.2,3.9,7.8,1,0,1,9.1688
Dog,7,45.52,2.7,8.6,0,0,1,39.2296
Rabbit,14,14.13,6.8,4.8,0,0,1,11.2792
Cat,12,43.26,4.3,2.0,1,1,1,2.8919
Cow,10,22.69,8.5,9.8,0,1,0,19.8636
Cat,6,20.54,3.5,7.4,1,0,1,12.4298
Rabbit,14,5.63,9.9,5.6,1,1,0,13.1084
Cow,5,32.47,6.3,5.7,1,0,0,82.7316
Cat,9,29.41,6.8,1.9,1,1,0,16.1063
Cat,5,14.2,7.6,6.9,1,1,0,3.7626
Cat,7,20.92,7.5,4.8,0,1,0,5.8405
Cat,12,41.93,5.8,3.5,0,1,1,35.3932
Cow,15,26.99,8.7,5.1,1,1,0,21.2132
Cat,9,38.69,8.6,7.1,0,1,0,46.5249
Cat,3,22.8,2.5,6.4,0,0,0,21.8039
Cat,11,21.95,9.4,1.9,1,0,1,18.3395
Cow,12,24.35,7.7,7.2,0,0,1,41.0922
Cat,8,9.4,5.1,3.0,0,1,1,46.2579
Cow,7,21.16,2.0,9.0,1,0,0,97.1588
Rabbit,13,5.87,4.5,8.1,0,1,0,38.3451
Cow,12,2.06,5.6,5.1,1,1,0,1.1331
Dog,10,18.19,1.1,3.9,0,1,0,16.5394
Dog,8,36.63,1.1,5.3,0,0,1,16.6659
Rabbit,4,40.55,9.5,6.5,1,0,1,31.036
Cat,11,25.47,4.0,6.3,0,0,0,17.6378
Cat,12,15.07,4.9,1.1,0,1,1,30.4597
Dog,10,10.75,3.0,6.6,1,1,1,37.2907
Rabbit,4,2.13,3.8,5.6,1,0,0,58.6217
Cow,8,12.75,6.8,5.0,0,0,0,43.2963
Cat,7,4.18,5.2,2.4,0,1,1,31.1953
Cat,5,26.04,2.8,6.6,0,0,1,27.5902
Cow,10,9.77,6.8,5.3,1,1,1,31.1169
Dog,9,35.88,3.0,2.7,0,0,1,13.4068
Cat,9,46.92,6.3,7.8,1,0,0,87.1368
Rabbit,13,25.31,8.7,2.0,1,1,0,39.3152
Dog,8,4.77,4.0,3.5,0,1,0,48.4539
Dog,6,28.62,2.5,3.4,1,1,1,45.0886
Cat,11,47.7,3.5,10.0,0,1,1,16.4591
Cow,6,13.9,8.1,7.3,0,0,1,19.1802
Cow,2,12.15,3.4,4.3,1,1,0,6.888
Cow,5,20.64,7.5,5.9,0,0,1,26.8622
Cow,4,26.59,5.2,1.7,1,0,1,13.7835
Cat,11,6.76,4.3,9.4,1,0,0,93.7443
Rabbit,8,20.47,9.3,2.2,0,0,1,13.4983
Rabbit,10,9.51,6.7,1.2,1,0,1,25.5217
Dog,14,13.01,3.6,3.0,1,1,0,46.0604
Cat,4,41.36,2.2,6.0,0,0,0,48.2192
Cat,14,45.25,4.9,7.2,1,0,1,18.0267
Cow,2,14.62,1.6,9.7,1,1,0,38.9124
Cat,8,7.36,6.0,5.2,1,1,1,24.6757
Cat,2,49.49,3.0,4.4,0,0,0,40.1811
Cow,8,26.68,7.8,7.8,1,1,0,40.2479
Cow,12,24.94,1.2,8.6,1,0,0,79.5353
Rabbit,6,22.48,7.8,8.0,0,0,0,7.6381
Cat,1,45.92,6.3,2.8,0,1,1,37.5645
Cow,1,30.58,2.5,9.0,1,0,1,11.4312
Rabbit,10,48.03,8.8,8.3,1,0,0,67.1952
Cow,1,10.72,8.2,1.9,0,1,1,45.1957
Cat,1,44.4,9.2,4.7,1,0,1,15.5502
Rabbit,7,7.55,8.4,3.5,1,0,0,71.4846
Dog,3,31.91,2.0,5.9,1,0,1,35.8131
Dog,1,14.42,7.8,4.8,0,0,1,17.0896
Rabbit,3,42.86,5.7,2.9,1,0,1,45.4397
Rabbit,10,16.88,8.0,3.6,1,1,0,24.7306
Dog,1,7.8,5.2,8.7,1,0,0,96.7351
Cow,9,21.81,2.8,1.2,0,1,0,23.6532
Cow,6,16.98,7.0,5.1,1,0,1,19.8193
Dog,1,45.72,6.1,7.1,1,1,0,12.8846
Cat,12,17.5,7.4,8.5,1,1,0,44.3677
Cow,2,38.75,9.9,5.4,0,0,1,12.3911
Dog,6,38.42,5.1,1.6,1,0,0,85.4476
Cow,5,7.23,4.7,5.2,1,1,0,26.2612
Cat,15,24.83,9.1,8.3,1,1,1,21.7795
Rabbit,4,44.6,5.8,1.2,0,1,1,40.5787
Rabbit,12,29.38,3.6,1.0,1,1,1,39.1171
Rabbit,3,48.73,6.2,7.3,1,1,0,7.9509
Cat,9,42.43,3.9,2.6,1,0,0,65.26
Cow,10,13.53,2.0,7.2,1,1,1,37.6762
Rabbit,3,38.73,9.9,7.7,1,1,1,24.9777
Cow,12,17.41,3.7,9.6,1,0,0,55.3542
Cat,5,3.46,8.8,3.8,1,1,1,13.3071
Cow,6,49.03,6.7,6.2,0,0,1,25.6068
Dog,8,22.41,5.1,3.5,0,1,0,1.8782
Cat,3,28.64,8.6,2.6,1,1,1,9.2825
Rabbit,3,42.13,1.0,3.4,1,1,0,5.2897
Rabbit,2,13.52,7.7,1.9,0,1,0,43.3414
Rabbit,7,15.68,4.3,2.5,0,0,1,46.941
Cow,6,7.12,3.6,9.0,1,1,1,5.7479
Cat,1,27.83,6.4,2.3,1,1,1,36.9315
Cat,12,6.51,8.9,4.3,1,0,0,56.756
Rabbit,4,46.02,3.6,1.7,1,1,1,28.2355
Dog,7,27.66,5.6,7.4,1,1,0,42.8338
Rabbit,6,29.32,3.6,6.0,0,0,1,21.268
Cow,12,7.16,8.8,6.9,1,0,0,79.0424
Cat,4,24.58,3.9,4.8,1,1,1,29.173
Dog,3,10.35,8.0,4.4,1,1,1,10.3348
Cow,14,15.03,3.7,5.1,0,1,0,48.7331
Cow,12,6.35,3.7,4.5,0,0,0,20.3768
Cat,10,24.75,2.2,7.4,0,0,1,41.1132
Cow,12,33.17,9.1,5.3,1,0,1,2.9578
Cow,8,45.48,5.8,7.8,1,1,1,2.6998
Cow,3,43.16,8.5,8.3,0,1,0,5.1481
Dog,3,17.98,5.0,4.9,0,1,0,3.1564
Dog,11,6.32,1.5,9.5,1,1,1,10.389
Cat,13,34.17,7.0,8.8,0,0,0,48.0738
Rabbit,2,32.29,7.1,5.9,0,0,0,11.657
Cow,1,24.54,2.5,7.1,1,1,0,22.7277
Cow,13,31.38,8.2,1.9,0,1,0,47.2673
Cat,10,30.37,9.6,7.8,1,1,0,2.8786
Cat,14,40.33,6.1,7.8,0,1,1,14.3811
Cat,15,3.76,7.0,8.2,1,1,1,33.1162
Cow,7,42.62,9.1,5.7,1,1,1,33.1623
Cat,13,12.6,9.5,3.3,0,1,1,43.0056
Dog,3,10.12,1.2,3.9,0,0,1,27.7681
Dog,7,8.46,5.9,8.9,1,1,1,13.1134
Dog,13,31.4,7.7,3.2,1,0,0,84.4048
Cow,6,40.47,7.7,5.1,0,1,0,2.3676
Cat,4,41.62,3.6,9.3,0,0,0,10.2884
Dog,1,45.53,8.8,4.2,1,1,0,35.5042
Cow,13,13.13,7.9,4.6,1,1,0,16.6269
Dog,11,14.65,3.2,4.9,0,1,0,43.7654
Cat,7,45.9,9.8,6.5,0,0,0,24.9171
Rabbit,13,23.46,1.9,3.2,1,0,0,52.9364
Cat,6,6.34,3.8,4.4,0,1,0,18.42
Cat,13,29.76,8.8,4.0,0,1,0,17.2743
Dog,1,27.28,9.9,1.6,0,1,0,31.2654
Dog,10,15.09,9.9,4.6,1,1,0,32.3483
Cow,8,1.06,8.8,2.2,0,1,0,29.6069
Cat,11,47.16,8.2,4.6,1,1,1,10.614
Cat,14,48.27,9.2,2.6,0,0,0,20.9759
Rabbit,12,37.18,7.2,8.8,1,0,1,17.4503
Cat,3,16.26,5.6,4.5,0,0,1,2.9716
Cow,2,4.85,5.6,9.5,1,0,0,93.7055
Cat,14,15.08,6.1,2.3,0,0,1,12.6424
Cow,2,9.44,4.9,6.7,0,1,0,30.7677
Cow,4,24.41,6.0,9.0,0,0,0,38.9495
Rabbit,14,20.25,4.8,7.1,1,0,1,37.8531
Rabbit,7,36.8,8.3,2.5,1,1,0,2.9159
Rabbit,5,15.47,1.9,4.7,0,0,0,23.6651
Cat,14,11.02,9.1,2.1,0,1,0,3.1036
Cat,11,11.82,1.5,2.5,0,0,1,5.2968
Dog,7,49.87,8.4,7.2,0,0,0,21.8577
Dog,1,2.72,4.5,4.9,0,0,0,44.2286
Cat,9,39.18,4.8,4.6,0,1,1,18.7484
Dog,2,35.55,8.5,3.2,0,0,0,37.8522
Cow,12,12.13,4.5,2.3,0,0,1,20.5093
Cat,3,28.12,6.8,2.6,0,0,1,15.1254
Dog,4,37.85,8.0,6.0,0,1,1,18.9158
Cat,10,30.85,3.5,9.0,0,0,0,8.0319
Cow,2,13.17,6.7,7.1,1,1,0,2.4687
Cat,13,21.19,5.6,8.8,1,1,0,14.3674
Cat,2,9.7,3.2,5.6,1,1,1,4.7357
Rabbit,13,24.13,8.1,5.0,1,1,0,20.9167
Cat,4,19.39,9.5,6.0,1,1,1,31.7699
Dog,8,17.8,7.2,9.7,1,1,0,30.7869
Cow,13,3.05,9.5,1.5,1,1,0,23.8409
Rabbit,12,1.76,2.9,8.7,0,0,1,45.2607
Cat,13,21.66,5.8,4.5,1,0,0,53.9174
Cat,13,20.43,9.4,6.3,0,0,0,33.9756
Dog,6,16.87,4.0,8.9,1,1,0,21.4525
Dog,11,46.59,3.8,7.8,1,0,1,14.9972
Rabbit,8,16.72,7.6,6.4,0,0,1,33.0256
Cat,8,6.01,7.6,7.5,1,1,0,42.8835
Dog,2,49.66,1.8,4.4,0,1,1,11.7001
Cat,9,9.39,1.0,5.5,1,0,1,47.965
Rabbit,4,22.45,3.0,1.7,1,1,0,14.9815
Cow,1,16.47,5.2,6.7,0,1,1,26.1512
Cow,10,9.92,7.5,5.0,0,1,1,16.914
Cat,12,37.14,9.8,6.1,1,0,0,81.3897
Dog,12,16.77,9.1,5.1,0,1,0,44.138
Dog,12,4.54,9.1,3.9,0,0,1,20.1663
Rabbit,11,36.82,2.2,7.1,1,1,1,22.2197
Cat,9,21.15,3.7,5.5,0,0,1,33.1602
Cat,7,49.93,6.9,8.6,1,0,0,98.6156
Cat,13,9.2,4.4,9.0,0,1,1,6.092
Cat,2,36.97,1.6,3.8,0,1,1,10.0475
Rabbit,10,28.92,4.9,1.3,1,0,0,79.5783
Cow,13,27.11,1.5,5.3,0,1,1,33.9535
Cow,7,36.21,2.1,6.4,1,0,0,80.5988
Rabbit,9,39.78,8.0,7.0,1,1,1,20.1908
Cow,6,3.97,7.1,3.3,1,1,0,2.8258
Cow,3,23.02,2.8,7.5,1,1,1,30.3726
Dog,9,4.58,3.9,9.8,1,1,1,4.5798
Cow,12,26.02,2.8,1.3,0,0,1,39.6259
Dog,6,33.61,6.9,9.4,1,0,0,88.1089
Cat,12,8.28,9.9,8.4,1,1,1,6.5928
Rabbit,4,4.72,8.8,3.6,1,1,0,41.2
Cow,5,27.89,7.6,6.8,1,0,0,90.0996
Cat,15,16.68,7.5,6.2,0,1,1,11.5052
Cow,10,47.06,2.9,10.0,0,0,1,46.3777
Dog,5,16.75,1.4,6.3,1,0,1,39.5648
Rabbit,2,18.85,4.2,8.7,0,1,1,28.4412
Rabbit,9,21.05,6.0,8.5,1,0,0,86.6175
Cat,4,13.86,5.7,5.1,0,1,1,27.0287
Cow,13,6.29,3.7,4.0,0,1,0,15.4467
Dog,9,38.95,6.4,8.4,0,0,1,29.3662
Dog,13,11.14,10.0,7.3,0,1,1,38.1102
Cow,13,2.48,5.6,1.7,0,0,0,25.2703
Rabbit,15,23.99,4.1,1.4,1,1,1,38.6414
Cat,13,9.84,2.1,3.9,1,1,1,25.4787
Dog,15,46.88,8.3,7.4,1,1,1,32.0764
Dog,5,32.41,8.0,4.7,1,1,1,31.6127
Dog,12,46.87,2.7,2.6,1,0,1,37.166
Cow,4,12.02,6.0,6.2,0,0,1,42.8374
Dog,12,45.57,9.5,9.0,0,0,1,39.5678
Rabbit,14,13.51,7.2,4.4,1,1,0,7.7026
Cow,12,38.47,5.1,3.0,1,1,0,24.5461
Cow,6,7.81,8.8,2.3,1,1,0,31.8621
Cow,3,46.01,4.5,6.1,0,1,1,38.6488
Dog,4,25.89,2.6,6.6,1,0,1,44.9961
Rabbit,3,42.27,1.3,7.1,0,0,0,24.8129
Dog,6,3.63,6.9,6.5,1,0,0,99.0799
Cat,13,20.17,8.3,4.9,0,1,0,41.184
Cow,14,11.87,5.0,2.2,1,1,1,41.5632
Cat,7,18.77,8.4,9.3,1,0,0,94.6299
Cat,13,37.59,2.9,8.5,0,0,1,28.7148
Dog,9,8.83,6.0,2.4,1,0,1,23.6487
Dog,10,21.66,2.1,9.6,0,0,1,34.2177
Cat,11,18.03,4.1,4.7,1,0,0,56.5642
Cat,11,14.97,7.1,5.2,0,1,1,40.5365
Dog,14,7.08,8.8,2.2,1,0,1,0.705
Dog,2,12.74,2.3,3.0,1,1,1,19.6654
Cow,8,7.01,5.2,3.2,0,1,1,19.5835
Rabbit,1,35.06,6.6,2.8,1,1,0,27.5374
Cat,12,40.42,1.8,1.7,0,0,0,24.2474
Dog,14,26.56,6.7,2.4,0,1,0,35.6524
Dog,9,28.64,2.4,2.2,1,0,1,7.7893
Dog,5,36.88,9.1,9.1,0,0,1,0.2057
Dog,5,20.87,9.9,7.5,1,1,1,11.9171
Rabbit,3,37.38,6.7,9.7,1,0,1,12.4908
Cow,8,37.04,5.3,4.9,1,0,0,51.6489
Dog,12,48.02,4.5,4.9,0,0,0,11.0135
Cow,7,1.74,8.6,7.3,0,0,0,0.9534
Cat,8,40.91,4.8,4.1,0,1,0,32.2699
Cow,15,48.63,9.3,7.2,1,0,1,30.7921
Dog,10,19.72,9.5,9.9,0,0,0,40.1074
Rabbit,2,34.92,8.3,8.3,1,0,0,76.3205
Rabbit,3,39.04,7.8,6.1,0,0,0,8.5361
Dog,4,23.83,2.3,5.6,1,1,1,6.4609
Rabbit,7,25.2,2.4,3.1,0,0,1,47.086
Rabbit,10,28.77,6.9,1.1,0,1,0,6.8696
Cat,11,16.09,8.3,7.3,0,1,1,1.3191
Rabbit,7,7.79,4.0,9.0,1,0,0,81.2161
Rabbit,1,27.72,9.3,4.0,1,0,0,79.3984
Rabbit,6,47.47,6.6,6.2,0,0,1,31.4847
Cat,6,36.25,1.4,4.4,0,1,0,13.1058
Dog,12,35.33,3.0,8.9,1,0,1,19.8848
Cat,5,24.11,4.8,1.6,0,1,0,18.1486
Cow,4,14.62,6.8,1.5,1,0,1,14.3836
Dog,5,45.35,1.0,9.6,1,0,1,45.923
Cat,14,19.64,1.7,4.9,1,1,1,40.7914
Dog,10,31.09,8.0,9.2,1,0,0,98.2873
Dog,13,30.33,7.5,2.8,1,1,1,43.4928
Cat,5,3.02,8.1,3.2,1,1,0,47.677
Cow,7,6.76,7.4,2.4,1,0,0,68.021
Cow,14,36.98,5.1,5.5,1,1,1,2.1405
Dog,10,27.76,5.5,3.4,0,0,0,35.0142
Dog,15,21.31,3.9,4.6,0,0,1,43.9297
Rabbit,6,39.07,6.5,1.8,1,0,0,50.6974
Rabbit,1,18.58,4.0,8.2,1,0,0,72.0575
Cat,9,31.48,6.4,4.2,0,1,0,37.6681
Rabbit,8,38.53,4.1,1.7,1,0,0,87.8117
Rabbit,14,47.32,2.1,6.2,1,1,1,11.6155
Dog,12,18.05,5.7,1.2,1,1,0,16.2886
Cat,9,11.23,5.2,2.8,0,1,0,32.6916
Cow,15,3.32,1.5,1.9,1,1,0,28.5456
Cow,13,15.83,2.7,1.8,1,1,1,20.2224
Cow,2,35.41,8.5,7.6,0,0,1,20.0852
Cat,14,46.31,3.4,4.8,0,0,0,19.7744
Cow,4,2.6,2.8,5.7,0,0,0,10.015
Cow,15,46.73,2.7,6.2,1,1,1,15.4619
Rabbit,9,25.37,6.4,3.5,0,1,1,17.1193
Rabbit,3,2.68,7.2,9.4,0,1,0,29.5498
Dog,8,10.24,3.9,9.9,1,1,1,39.39
Rabbit,13,20.32,5.8,5.3,0,1,0,29.7096
Dog,10,1.7,8.5,4.8,1,1,0,41.3804
Rabbit,4,9.05,4.7,6.3,1,1,0,28.5122
Dog,2,21.9,8.0,9.3,1,1,1,12.7646
Dog,1,26.96,9.9,6.7,0,0,1,4.4729
Cow,13,29.71,7.7,1.1,1,0,1,42.9329
Cow,1,34.28,8.3,2.6,1,1,0,47.4579
Rabbit,4,13.26,4.1,5.0,0,0,1,26.1239
Rabbit,10,10.56,6.3,1.9,0,1,0,13.8928
Cow,14,31.36,6.2,2.7,1,0,1,1.6148
Cow,4,23.52,3.5,4.0,0,0,0,21.8494
Cow,15,37.3,8.7,6.5,1,1,0,36.2797
Rabbit,1,7.39,4.7,7.5,1,0,0,78.5912
Dog,7,9.45,4.4,6.4,0,0,0,39.9365
Cow,12,44.39,4.8,6.8,1,1,1,26.1726
Rabbit,11,41.97,1.4,5.2,0,1,0,3.657
Cat,11,1.37,5.5,1.9,0,1,0,41.8339
Dog,11,8.62,7.4,1.4,0,1,0,37.7529
Cow,14,12.08,8.6,7.8,0,0,0,10.9854
Cat,3,39.09,6.9,1.5,0,0,0,9.3924
Dog,6,44.26,7.1,2.2,0,0,1,46.5566
Rabbit,10,40.67,3.2,2.5,0,1,1,1.9972
Cow,10,24.38,2.6,6.9,0,0,0,46.198
Cow,14,35.15,2.8,1.0,1,0,1,29.4022
Cat,6,16.28,2.6,1.3,1,0,1,37.1127
Cow,3,39.39,8.3,2.9,0,1,0,41.6289
Rabbit,5,7.18,6.0,3.9,0,1,0,37.4157
Rabbit,4,47.2,4.5,7.1,0,1,0,11.0998
Rabbit,13,20.27,1.7,7.3,1,1,0,44.0484
Rabbit,13,39.03,8.8,4.5,0,1,1,36.504
Rabbit,7,27.14,8.1,2.2,0,0,1,8.0485
Dog,6,26.51,9.5,8.1,1,0,0,92.5201
Rabbit,13,45.58,4.9,1.2,0,1,0,27.7695
Dog,1,28.04,6.4,8.6,0,1,0,5.7618
Dog,2,44.64,2.2,6.3,1,0,0,92.8505
Dog,15,36.74,9.5,5.5,0,1,0,46.1118
Cat,15,34.33,9.5,2.2,1,0,1,40.2974
Rabbit,9,17.73,5.3,4.9,0,1,1,38.9904
Cow,9,23.95,8.2,5.9,0,0,1,18.9488
Rabbit,6,14.36,3.7,9.5,0,0,1,36.943
Rabbit,7,41.41,8.6,9.0,0,0,0,7.5623
Cow,15,7.22,1.7,7.0,0,1,0,45.4424
Cow,5,6.04,1.4,1.9,0,0,1,26.7634
Cow,9,7.67,5.0,9.6,1,0,0,87.7364
Dog,6,47.43,4.8,9.9,0,1,0,22.4468
Cat,9,7.75,1.0,8.5,1,0,0,65.8362
Dog,10,20.94,6.1,5.8,1,0,0,92.5839
Cat,3,9.97,9.0,3.9,1,0,1,24.7331
Cow,14,48.64,7.7,7.5,1,0,1,44.7591
Cow,12,13.37,6.9,6.5,0,1,1,30.0277
Dog,7,12.36,7.4,9.6,0,1,0,20.4555
Cow,3,9.86,4.4,1.1,0,0,0,48.833
Dog,2,43.62,7.1,5.9,0,1,1,15.5088
Cow,3,43.38,9.8,8.9,1,1,0,37.8044
Cow,10,38.06,5.5,7.8,0,1,0,9.7321
Dog,4,24.11,6.5,1.3,1,1,1,18.9815
Rabbit,6,28.51,1.9,2.6,1,0,0,61.3598
Rabbit,10,21.8,3.6,6.1,1,0,0,87.071
Rabbit,3,31.56,3.4,2.1,0,1,0,38.6426
Cat,8,18.25,6.3,3.4,0,1,0,18.3645
Dog,9,41.87,8.3,4.9,0,0,1,37.662
Dog,15,34.71,6.5,3.3,0,1,0,33.4193
Dog,4,8.39,7.0,8.4,1,0,1,2.0133
Cow,7,20.46,1.7,6.8,0,1,1,48.311
Cow,5,6.65,9.9,8.2,0,1,1,27.2971
Cat,3,25.81,7.9,4.4,1,0,1,4.632
Dog,5,11.87,5.5,1.4,1,1,0,19.7006
Rabbit,15,1.63,4.1,8.5,0,0,1,11.5725
Rabbit,6,2.1,6.3,6.1,0,1,0,37.7193
Dog,7,27.12,5.9,3.9,1,1,0,33.4376
Rabbit,13,9.67,4.5,3.8,1,1,1,28.8247
Cow,11,20.88,6.3,6.7,1,0,1,12.925
Rabbit,10,47.34,4.1,5.2,1,0,1,33.0179
Cow,11,8.04,4.5,7.4,1,0,0,79.0001
Rabbit,5,1.33,2.1,1.4,0,0,1,40.7291
Dog,8,16.77,8.5,2.7,0,0,1,1.4926
Dog,13,22.97,9.1,6.5,0,0,0,24.9955
Rabbit,10,34.68,7.7,5.2,0,1,0,2.4257
Cow,11,16.66,3.3,3.5,1,1,1,6.5363
Dog,1,21.97,4.6,9.0,1,1,0,0.2398
Cat,7,32.5,8.6,8.0,1,0,1,29.7677
Cow,4,16.89,8.8,7.6,1,1,0,40.4832
Cow,5,13.98,7.4,4.4,1,0,0,77.4442
Rabbit,15,43.8,8.6,4.8,0,1,1,18.5115
Rabbit,2,36.97,2.2,2.0,0,0,0,19.1836
Dog,11,43.13,2.5,4.4,1,0,1,38.2524
Dog,6,38.81,1.5,5.1,0,0,1,36.1836
Rabbit,3,22.7,5.4,2.2,1,1,0,14.257
Cat,9,44.7,3.1,9.6,0,0,0,25.0008
Rabbit,8,41.9,5.1,5.7,1,0,1,43.7597
Rabbit,10,9.35,6.3,4.9,1,1,1,44.797
Dog,9,34.52,5.3,2.3,1,0,1,16.6887
Cow,10,30.03,5.8,1.0,1,0,0,55.0874
Dog,2,49.44,2.0,7.8,0,1,0,47.5559
Cat,4,2.67,9.4,3.5,1,1,0,29.6046
Dog,4,48.78,10.0,7.4,0,1,0,20.8636
Rabbit,9,19.97,7.0,8.7,1,1,0,19.7999
Cat,13,6.67,6.0,4.0,0,1,0,24.6976
Cow,9,26.86,3.6,1.2,0,1,0,2.8667
Dog,5,19.18,1.6,7.6,0,0,0,41.7133
Dog,8,21.6,4.3,4.3,1,1,0,22.9428
Dog,10,5.32,3.0,8.8,0,1,1,28.6188
Rabbit,3,25.62,5.1,6.5,1,0,0,95.1968
Dog,14,36.45,6.0,8.8,0,0,0,19.0723
Cat,13,5.67,1.1,7.6,0,1,1,38.7772
Dog,14,5.42,7.3,6.0,1,1,0,37.9276
Rabbit,15,18.83,5.6,6.6,0,0,1,7.5644
Cat,11,38.32,6.3,7.1,0,1,1,36.6273
Rabbit,10,29.01,7.8,5.0,0,0,1,14.8506
Rabbit,9,38.37,8.3,4.9,0,1,0,42.5102
Cow,12,46.58,9.8,7.8,1,1,0,37.5462
Cat,9,28.55,9.6,3.3,1,1,0,39.0953
Cow,11,18.03,2.9,1.4,1,1,1,27.3049
Dog,14,25.76,7.6,5.3,1,1,0,29.8254
Cow,6,37.88,9.1,3.3,0,0,1,25.6702
Rabbit,13,18.32,9.8,7.6,0,1,0,43.7618
Rabbit,14,6.82,4.8,7.1,1,1,1,38.3544
Dog,12,42.97,9.5,4.6,1,0,1,28.4047
Cat,11,33.45,4.8,2.7,1,1,0,27.4522
Cow,4,14.91,6.4,7.0,0,1,1,11.5072
Cat,7,44.95,5.5,7.0,1,0,1,24.111
Cat,2,28.54,5.7,6.6,1,0,1,39.5335
Cat,6,16.44,3.4,2.7,0,1,1,2.4805
Rabbit,12,42.46,9.0,2.2,1,1,1,5.3937
Cat,13,37.78,8.9,5.5,1,0,0,71.521
Rabbit,7,36.67,1.0,9.9,1,1,1,14.1211
Cow,3,33.93,8.5,4.3,1,1,1,48.6244
Dog,7,5.38,7.1,6.4,1,0,1,32.1879
Rabbit,7,21.44,1.6,7.5,1,1,1,11.4123
Rabbit,8,22.83,1.8,8.0,0,1,1,25.4742
Cow,3,4.81,1.0,3.7,1,0,0,78.9301
Cow,4,27.21,2.7,3.1,0,0,1,1.9787
Cow,9,39.4,9.0,8.9,1,1,1,22.54
Cow,3,1.98,5.4,9.2,1,1,1,23.5837
Cow,5,46.95,1.6,5.9,0,1,0,42.6651
Cow,15,32.64,1.8,3.6,0,0,1,14.2303
Dog,6,40.99,8.0,6.0,0,0,1,27.5721
Rabbit,5,34.33,2.7,8.8,1,0,0,54.4273
Dog,1,19.05,3.9,7.8,1,1,0,48.6421
Rabbit,6,39.35,3.4,3.8,0,0,0,41.3222
Rabbit,2,12.28,1.3,4.3,0,1,1,43.1645
Cat,11,39.79,5.0,4.3,1,0,1,22.7477
Dog,6,5.81,7.8,9.2,0,0,0,1.9305
Cow,12,47.47,9.8,2.1,1,1,0,40.1133
Dog,13,20.13,5.0,5.6,0,1,1,48.3158
Rabbit,6,37.62,5.8,5.1,0,0,1,31.6994
Rabbit,15,36.29,2.2,6.6,0,0,0,39.4834
Dog,14,3.5,3.0,9.8,1,0,0,86.1569
Cow,1,41.96,8.1,1.3,1,0,0,60.2313
Dog,13,33.85,8.0,5.0,0,0,1,38.703
Cow,12,47.13,9.6,5.1,0,0,0,30.4583
Cow,2,21.17,7.7,3.0,1,1,0,32.0034
Dog,1,6.57,1.0,9.9,0,0,0,18.3942
Dog,1,35.38,6.1,9.4,0,1,1,24.4346
Dog,7,7.26,3.5,9.4,0,0,0,23.7263
Cow,7,6.33,8.6,7.4,0,0,1,17.433
Dog,5,13.5,7.9,4.5,0,0,1,28.9361
Rabbit,1,35.62,8.9,8.9,1,1,1,28.47
Dog,9,49.56,8.2,1.9,0,1,1,24.3341
Cow,1,2.25,1.5,4.1,0,1,0,24.0245
Cow,12,32.65,2.3,8.2,1,0,0,99.0833
Cow,14,30.77,7.8,9.6,0,0,1,16.7377
Rabbit,13,30.92,1.6,8.8,1,1,1,16.3043
Rabbit,4,9.42,3.9,1.2,0,0,1,35.8548
Dog,3,10.6,8.2,4.4,1,0,0,65.4785
Dog,14,5.22,2.3,2.4,1,0,0,50.6122
Cat,5,49.16,5.7,6.4,0,1,1,37.1495
Cat,13,13.15,9.2,4.9,1,1,1,35.117
Cow,1,26.58,4.4,3.2,1,1,1,3.1794
Cow,1,32.35,6.6,2.2,1,0,0,50.754
Rabbit,7,28.61,7.5,8.5,0,0,1,5.0522
Cat,6,37.53,9.9,7.3,0,1,0,28.2251
Cow,11,4.34,8.0,6.1,0,0,0,37.8378
Cat,4,9.17,9.6,6.5,1,1,0,4.1336
Cat,13,39.2,5.2,2.5,1,1,1,20.2532
Dog,3,6.19,5.0,4.9,1,0,1,34.3811
Cat,14,14.58,8.3,1.2,1,0,1,23.2288
Cow,6,38.35,1.3,9.7,1,1,1,25.2082
Dog,15,19.36,7.3,1.1,0,0,1,48.5143
Rabbit,5,11.32,3.1,5.1,0,0,0,11.4739
Dog,14,18.92,5.4,1.2,0,0,1,3.0188
Rabbit,10,17.68,6.0,7.3,0,0,0,13.1329
